file raw gzip9 bzip29 xz9
bib 111261 34900 27467 30588
book1 768771 312281 232598 261116
book2 610856 206158 157443 169824
dickens 10192446 3851823 2799520 2830604
geo 102400 68414 56921 53364
mozilla 51220480 18994142 17914392 13503600
mr 9970564 3673940 2441280 2750272
nci 33553445 2987533 1812734 1779272
news 377109 144400 118600 118900
obj1 21504 10320 10787 9428
obj2 246814 81087 76441 61504
ooffice 6152192 3090442 2862526 2426816
osdb 10085684 3716342 2802792 2849908
paper1 53161 18543 16558 17280
paper2 82199 29667 25041 27228
paper3 46526 18074 15837 17064
paper4 13286 5534 5188 5408
paper5 11954 4995 4837 4900
paper6 38105 13213 12292 12504
pic 513216 52381 49759 41992
progc 39611 13261 12544 12560
progl 71646 16164 15579 14984
progp 49379 11186 10710 10352
reymont 6627202 1820834 1246230 1317152
samba 21606400 5408272 4549759 3787400
sao 7251944 5327041 4940524 4415072
trans 93695 18862 17899 16720
webster 41458703 12061624 8644714 8628848
x-ray 8474240 6037713 4051112 4489868
xml 5345280 662284 441186 453260
zeros_10k.bin 10000 59 46 108
